Data,Note,,Addr,Values Factor,Bytes
Betriebsstunden Sammelmeldung,,,,,
Betriebsstunden Umschaltventil Heizen/Warmw.,,,,,
Betriebsstunden Speicherladepumpe,,,,,
Anzahl Einschaltungen Verdichter,,,,,
Anzahl Einschaltungen Primärquelle,,,,,
Anzahl Einschaltungen Sekundärquelle,,,,,
Anzahl Einschaltungen Durchlauferh. Stufe1,,,,,
Anzahl Einschaltungen Durchlauferh. Stufe2,,,,,
Anzahl Einschaltungen Heizkreis A1,,,,,
Anzahl Einschaltungen Heizkreis M2,,,,,
Anzahl Einschaltungen Heizkreis M3,,,,,
Anzahl Einschaltungen Zusatzausgang (Z-Pumpe),,,,,
Anzahl Einschaltungen Sammelmeldung,,,,,
Anzahl Einschaltungen Umschaltventil Heizen/Warmwasser,,,,,
Anzahl Einschaltungen Speicherladepumpe,,,,,
Status Verdichter Ein/Aus,,,,,
Status Primärquelle Ein/Aus,,,,,
Status Sekundärquelle Ein/Aus,,,,,
Status Durchlauferh. Stufe1 Ein/Aus,,,,,
Status Durchlauferh. Stufe2 Ein/Aus,,,,,
Status Pumpe Heizkreis A1 Ein/Aus,,,,,
Status Pumpe Heizkreis M2 Ein/Aus,,,,,
Status Pumpe Heizkreis M3 Ein/Aus,,,,,
Status Zusatzausgang (Z-Pumpe) Ein/Aus,,,,,
Status Sammelmeldung Ein/Aus,,,,,
Status Umschaltventil Heizen/Warmwasser Ein/Aus,,,,,
Status Speicherladepumpe Ein/Aus,,,,,
,,,,,
Pellet und Scheitholz Kessel,,,,,
Puffertemperatur gedämpft oben,,,,,
Puffertemperatur gedämpft unten,,,,,
KesselTemperatur,,,,,
Flammtemperatur,,,,,
Einschubtemperatur,,,,,
Lambdasonde [%],,,,,
Position Primärluftklappe,,,,,
Position Sekundärluftklappe,,,,,
Drehzahl Soll,,,,,
Drehzahl Ist,,,,,
KesselLeistung [%],,,,,
Brennstoffverbrauch [kg],,,,,
